,price,bedrooms,bathrooms,sqft_living,floors,view,grade,sqft_above,sqft_basement,lat,long,sqft_living15,WaterFront,month_sold,age,yrs_reno,Renovated,dist_to_Seattle,Bellevue,Federal Way,Kent,Renton,Seattle,rel_size
0,221900.0,3,1.0,1180,1.0,0.0,7,1180,0,47.5112,-122.257,1340,0,10,59,59.0,0,7.61,0,0,0,1,0,0.8805970149253731
1,538000.0,3,2.25,2570,2.0,0.0,7,2170,400,47.721000000000004,-122.319,1690,0,12,63,23.0,1,7.84,0,0,0,0,1,1.5207100591715976
2,180000.0,2,1.0,770,1.0,0.0,6,770,0,47.7379,-122.23299999999999,2720,0,2,82,82.0,0,10.15,1,0,0,0,0,0.28308823529411764
3,604000.0,4,3.0,1960,1.0,0.0,7,1050,910,47.5208,-122.39299999999999,1360,0,12,49,49.0,0,6.6,0,0,0,0,1,1.4411764705882353
4,510000.0,3,2.0,1680,1.0,0.0,8,1680,0,47.6168,-122.045,1800,0,2,28,28.0,0,13.52,1,0,0,0,0,0.9333333333333333
6,257500.0,3,2.25,1715,2.0,0.0,7,1715,0,47.3097,-122.32700000000001,2238,0,6,19,19.0,0,20.6,0,1,0,0,0,0.7663092046470062
7,291850.0,3,1.5,1060,1.0,0.0,7,1060,0,47.4095,-122.315,1650,0,1,52,52.0,0,13.74,0,0,1,0,0,0.6424242424242425
8,229500.0,3,1.0,1780,1.0,0.0,7,1050,730,47.5123,-122.337,1780,0,4,55,55.0,0,6.61,0,0,0,1,0,1.0
9,323000.0,3,2.5,1890,2.0,0.0,7,1890,0,47.3684,-122.031,2390,0,3,12,12.0,0,21.8,0,0,1,0,0,0.7907949790794979
10,662500.0,3,2.5,3560,1.0,0.0,8,1860,1700,47.6007,-122.145,2210,0,4,50,50.0,0,8.87,1,0,0,0,0,1.6108597285067874
11,468000.0,2,1.0,1160,1.0,0.0,7,860,300,47.69,-122.292,1330,0,5,72,72.0,0,6.01,0,0,0,0,1,0.8721804511278195
13,400000.0,3,1.75,1370,1.0,0.0,7,1370,0,47.6127,-122.045,1370,0,10,37,37.0,0,13.51,1,0,0,0,0,1.0
14,530000.0,5,2.0,1810,1.5,0.0,7,1810,0,47.67,-122.39399999999999,1360,0,3,115,115.0,0,5.08,0,0,0,0,1,1.3308823529411764
15,650000.0,4,3.0,2950,2.0,3.0,9,1980,970,47.5714,-122.375,2140,0,1,36,36.0,0,3.14,0,0,0,0,1,1.3785046728971964
17,485000.0,4,1.0,1600,1.5,0.0,7,1600,0,47.6648,-122.34299999999999,1610,0,5,98,98.0,0,3.94,0,0,0,0,1,0.9937888198757764
18,189000.0,2,1.0,1200,1.0,0.0,7,1200,0,47.3089,-122.21,1060,0,12,93,93.0,0,21.46,0,1,0,0,0,1.1320754716981132
19,230000.0,3,1.0,1250,1.0,0.0,7,1250,0,47.3343,-122.306,1280,0,4,46,46.0,0,18.95,0,1,0,0,0,0.9765625
20,385000.0,4,1.75,1620,1.0,0.0,7,860,760,47.7025,-122.34100000000001,1400,0,5,67,67.0,0,6.53,0,0,0,0,1,1.1571428571428573
22,285000.0,5,2.5,2270,2.0,0.0,8,2270,0,47.3266,-122.169,2240,0,7,19,19.0,0,20.92,0,0,1,0,0,1.0133928571428572
23,252700.0,2,1.5,1070,1.0,0.0,7,1070,0,47.3533,-122.166,1220,0,5,29,29.0,0,19.28,0,0,1,0,0,0.8770491803278688
24,329000.0,3,2.25,2450,2.0,0.0,8,2450,0,47.3739,-122.17200000000001,2200,0,11,29,29.0,0,17.87,0,0,1,0,0,1.1136363636363635
25,233000.0,3,2.0,1710,1.5,0.0,6,1710,0,47.3048,-122.21799999999999,1030,0,11,73,73.0,0,21.64,0,1,0,0,0,1.6601941747572815
26,937000.0,3,1.75,2450,2.0,0.0,8,1750,700,47.6386,-122.36,1760,0,6,99,99.0,0,2.41,0,0,0,0,1,1.3920454545454546
