,nearest_city
0,Renton
1,Seattle
2,Bellevue
3,Seattle
4,Bellevue
5,Bellevue
6,Federal Way
7,Kent
8,Renton
9,Kent
10,Bellevue
11,Seattle
12,Bellevue
13,Bellevue
14,Seattle
15,Seattle
16,Bellevue
17,Seattle
18,Federal Way
19,Federal Way
20,Seattle
21,Renton
22,Kent
23,Kent
24,Kent
25,Federal Way
26,Seattle
27,Seattle
28,Seattle
29,Bellevue
30,Bellevue
31,Seattle
32,Seattle
33,Seattle
34,Renton
35,Seattle
36,Bellevue
37,Seattle
38,Federal Way
39,Renton
40,Bellevue
41,Renton
42,Bellevue
43,Seattle
44,Renton
45,Bellevue
46,Federal Way
47,Bellevue
48,Seattle
49,Federal Way
50,Kent
51,Renton
52,Seattle
53,Seattle
54,Seattle
55,Seattle
56,Kent
57,Kent
58,Bellevue
59,Renton
60,Kent
61,Kent
62,Renton
63,Seattle
64,Seattle
65,Seattle
66,Bellevue
67,Federal Way
68,Kent
69,Bellevue
70,Bellevue
71,Bellevue
72,Seattle
73,Kent
74,Kent
75,Bellevue
76,Bellevue
77,Seattle
78,Seattle
79,Kent
80,Kent
81,Kent
82,Seattle
83,Renton
84,Seattle
85,Seattle
86,Federal Way
87,Renton
88,Renton
89,Seattle
90,Federal Way
91,Seattle
92,Federal Way
93,Seattle
94,Seattle
95,Bellevue
96,Kent
97,Federal Way
98,Renton
99,Renton
100,Seattle
101,Seattle
102,Bellevue
103,Bellevue
104,Renton
105,Renton
106,Seattle
107,Federal Way
108,Bellevue
109,Bellevue
110,Bellevue
111,Seattle
112,Kent
113,Seattle
114,Federal Way
115,Seattle
116,Seattle
117,Renton
118,Renton
119,Seattle
120,Seattle
121,Bellevue
122,Seattle
123,Renton
124,Bellevue
125,Bellevue
126,Renton
127,Federal Way
128,Seattle
129,Bellevue
130,Federal Way
131,Renton
132,Bellevue
133,Bellevue
134,Seattle
135,Federal Way
136,Federal Way
137,Bellevue
138,Seattle
139,Seattle
140,Seattle
141,Bellevue
142,Renton
143,Seattle
144,Bellevue
145,Bellevue
146,Seattle
147,Renton
148,Kent
149,Seattle
150,Seattle
151,Seattle
152,Federal Way
153,Bellevue
154,Seattle
155,Renton
156,Renton
157,Federal Way
158,Kent
159,Renton
160,Renton
161,Bellevue
162,Bellevue
163,Bellevue
164,Renton
165,Bellevue
166,Kent
167,Bellevue
168,Bellevue
169,Seattle
170,Renton
171,Federal Way
172,Seattle
173,Bellevue
174,Bellevue
175,Seattle
176,Seattle
177,Seattle
178,Kent
179,Seattle
180,Kent
181,Seattle
182,Bellevue
183,Kent
184,Bellevue
185,Bellevue
186,Federal Way
187,Bellevue
188,Seattle
189,Bellevue
190,Bellevue
191,Renton
192,Bellevue
193,Seattle
194,Seattle
195,Federal Way
196,Seattle
197,Seattle
198,Bellevue
199,Kent
200,Renton
201,Kent
202,Seattle
203,Federal Way
204,Renton
205,Renton
206,Bellevue
207,Seattle
208,Renton
209,Seattle
210,Kent
211,Seattle
212,Bellevue
213,Federal Way
214,Renton
215,Renton
216,Bellevue
217,Seattle
218,Seattle
219,Seattle
220,Bellevue
221,Kent
222,Bellevue
223,Kent
224,Kent
225,Seattle
226,Bellevue
227,Federal Way
228,Kent
229,Bellevue
230,Renton
231,Renton
232,Federal Way
233,Bellevue
234,Seattle
235,Bellevue
236,Kent
237,Seattle
238,Bellevue
239,Federal Way
240,Federal Way
241,Seattle
242,Seattle
243,Kent
244,Seattle
245,Federal Way
246,Bellevue
247,Seattle
248,Federal Way
249,Seattle
250,Kent
251,Renton
252,Renton
253,Renton
254,Kent
255,Seattle
256,Seattle
257,Renton
258,Renton
259,Bellevue
260,Seattle
261,Kent
262,Bellevue
263,Seattle
264,Renton
265,Kent
266,Seattle
267,Seattle
268,Federal Way
269,Bellevue
270,Bellevue
271,Seattle
272,Federal Way
273,Renton
274,Seattle
275,Kent
276,Renton
277,Bellevue
278,Kent
279,Renton
280,Kent
281,Renton
282,Seattle
283,Bellevue
284,Bellevue
285,Kent
286,Bellevue
287,Bellevue
288,Bellevue
289,Bellevue
290,Kent
291,Bellevue
292,Federal Way
293,Renton
294,Seattle
295,Bellevue
296,Kent
297,Renton
298,Seattle
299,Renton
300,Bellevue
301,Federal Way
302,Seattle
303,Kent
304,Renton
305,Seattle
306,Seattle
307,Bellevue
308,Seattle
309,Renton
310,Seattle
311,Bellevue
312,Seattle
313,Bellevue
314,Bellevue
315,Renton
316,Seattle
317,Kent
318,Seattle
319,Renton
320,Bellevue
321,Renton
322,Federal Way
323,Federal Way
324,Renton
325,Renton
326,Bellevue
